EC-Lab ASCII FILE
Nb header lines  58                          

Cyclic Voltammetry

Run on channel  3 (SN 35515)
User  
CE vs. WE compliance from -10 V to 10 V
Electrode connection  standard
Ewe ctrl range  min = -2.50 V, max = 2.50 V
Safety Limits 
	Do not start on E overload
Acquisition started on  03112020 151016
Technique started on  03112020 151016
Saved on 
	File  03112020_MnO2_RDE_50mVs_2500rpm_ExtendedBounds_120mL_counter_C04_C03.mpr
	Directory  CUsersCESLDocumentsEC-LabDataUndergradKatelynEChem20200311
	Host  169.254.217.189
Device  VSP (SN 1724172417241724)
Address  USB
EC-Lab for windows v11.16 (software)
Internet server v11.16 (firmware)
Command interpretor v11.16 (firmware)
Electrode material  AuPd
Initial state  
Electrolyte  NaCl (0.2M)
Comments  Fe(CN)63-Fe(CN)64- 5.10-3 M
Reference electrode  SCE Saturated Calomel Electrode (0.241 V)
Electrode surface area  0.001 cm²
Characteristic mass  0.001 g
Equivalent Weight  0.000 geq.
Density  0.000 gcm3
Record Ece
Record Power
Cycle Definition  ChargeDischarge alternance
Ei (V)              -1.000              
vs.                 Ref                 
dEdt               50.000              
dEdt unit          mVs                
E1 (V)              1.200               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   
E2 (V)              -2.000              
vs.                 Ref                 
nc cycles           2                   
Reverse Scan        1                   
Ef (V)              -1.000              
vs.                 Ref                 

mode	oxred	error	control changes	counter inc.	times	controlV	EweV	ImA	cycle number	(Q-Qo)C	EceV	PW	Ewe-EceV	
2	0	0	1	1	1.764039955436601E+002	9.7676855E-001	9.7657561E-001	2.121965815402100E-003	2.000000000000000E+000	-6.3995738E-003	-6.4091873E-001	2.0722600E-006	1.6174943E+000
2	0	0	1	1	1.764239955431549E+002	9.7576839E-001	9.7561938E-001	2.082591037025058E-003	2.000000000000000E+000	-6.3995318E-003	-6.4077294E-001	2.0318162E-006	1.6163924E+000
2	0	0	1	1	1.764439955426496E+002	9.7476804E-001	9.7456753E-001	2.070419650004228E-003	2.000000000000000E+000	-6.3994909E-003	-6.4064443E-001	2.0177638E-006	1.6152120E+000
2	0	0	1	1	1.764639955421444E+002	9.7376782E-001	9.7363228E-001	2.051872185701440E-003	2.000000000000000E+000	-6.3994499E-003	-6.4052147E-001	1.9977690E-006	1.6141537E+000
2	0	0	1	1	1.764839955416392E+002	9.7276759E-001	9.7260803E-001	2.023016253183928E-003	2.000000000000000E+000	-6.3994094E-003	-6.4039898E-001	1.9676020E-006	1.6130071E+000
2	0	0	1	1	1.765039955411339E+002	9.7176743E-001	9.7157001E-001	2.016888494836177E-003	2.000000000000000E+000	-6.3993689E-003	-6.4039230E-001	1.9595484E-006	1.6119623E+000
2	0	0	1	1	1.765239955406287E+002	9.7076720E-001	9.7057968E-001	2.010402574443217E-003	2.000000000000000E+000	-6.3993288E-003	-6.4046657E-001	1.9512559E-006	1.6110463E+000
2	0	0	1	1	1.765439955401234E+002	9.6976697E-001	9.6956700E-001	1.997210852601315E-003	2.000000000000000E+000	-6.3992892E-003	-6.4055008E-001	1.9364297E-006	1.6101171E+000
2	0	0	1	1	1.765639955396182E+002	9.6876669E-001	9.6857673E-001	1.987550784583118E-003	2.000000000000000E+000	-6.3992497E-003	-6.4047164E-001	1.9250956E-006	1.6090484E+000
2	0	0	1	1	1.765839955391129E+002	9.6776646E-001	9.6754712E-001	1.961296366668350E-003	2.000000000000000E+000	-6.3992101E-003	-6.4021796E-001	1.8976467E-006	1.6077651E+000
2	0	0	1	1	1.766039955386077E+002	9.6676624E-001	9.6656525E-001	1.949440668492276E-003	2.000000000000000E+000	-6.3991714E-003	-6.3971436E-001	1.8842617E-006	1.6062796E+000
2	0	0	1	1	1.766239955381025E+002	9.6576601E-001	9.6557808E-001	1.969111833305864E-003	2.000000000000000E+000	-6.3991323E-003	-6.3945889E-001	1.9013312E-006	1.6050370E+000
2	0	0	1	1	1.766439955375972E+002	9.6476573E-001	9.6458673E-001	1.944419037398708E-003	2.000000000000000E+000	-6.3990937E-003	-6.3945621E-001	1.8755608E-006	1.6040430E+000
2	0	0	1	1	1.766639955370920E+002	9.6376550E-001	9.6355194E-001	1.925141228841524E-003	2.000000000000000E+000	-6.3990550E-003	-6.3942784E-001	1.8549736E-006	1.6029798E+000
2	0	0	1	1	1.766839955365867E+002	9.6276528E-001	9.6261024E-001	1.910492108638404E-003	2.000000000000000E+000	-6.3990168E-003	-6.3932526E-001	1.8390592E-006	1.6019355E+000
2	0	0	1	1	1.767039955360815E+002	9.6176505E-001	9.6156156E-001	1.885575495887481E-003	2.000000000000000E+000	-6.3989791E-003	-6.3928157E-001	1.8130969E-006	1.6008432E+000
2	0	0	1	1	1.767239955355763E+002	9.6076477E-001	9.6058828E-001	1.860878235169769E-003	2.000000000000000E+000	-6.3989419E-003	-6.3932925E-001	1.7875378E-006	1.5999175E+000
2	0	0	1	1	1.767439955350710E+002	9.5976454E-001	9.5959258E-001	1.855527807088538E-003	2.000000000000000E+000	-6.3989051E-003	-6.3946259E-001	1.7805506E-006	1.5990552E+000
2	0	0	1	1	1.767639955345658E+002	9.5876431E-001	9.5858103E-001	1.856922154527440E-003	2.000000000000000E+000	-6.3988683E-003	-6.3944775E-001	1.7800104E-006	1.5980288E+000
2	0	0	1	1	1.767839955340605E+002	9.5776409E-001	9.5760244E-001	1.835394810970885E-003	2.000000000000000E+000	-6.3988315E-003	-6.3930196E-001	1.7575785E-006	1.5969044E+000
2	0	0	1	1	1.768039955335553E+002	9.5676380E-001	9.5657820E-001	1.828153771182561E-003	2.000000000000000E+000	-6.3987952E-003	-6.3889724E-001	1.7487720E-006	1.5954754E+000
2	0	0	1	1	1.768239955330500E+002	9.5576358E-001	9.5558149E-001	1.836546084228355E-003	2.000000000000000E+000	-6.3987589E-003	-6.3852590E-001	1.7549695E-006	1.5941074E+000
2	0	0	1	1	1.768440955325423E+002	9.5476663E-001	9.5455593E-001	1.797424593106767E-003	2.000000000000000E+000	-6.3987225E-003	-6.3851309E-001	1.7157423E-006	1.5930691E+000
2	0	0	0	1	1.768641955320345E+002	9.5376313E-001	9.5354980E-001	1.784883191046700E-003	2.000000000000000E+000	-6.3986867E-003	-6.3845098E-001	1.7019751E-006	1.5920007E+000
2	0	0	0	1	1.768841955315293E+002	9.5276284E-001	9.5257854E-001	1.773189334320104E-003	2.000000000000000E+000	-6.3986513E-003	-6.3835895E-001	1.6891021E-006	1.5909375E+000
2	0	0	0	1	1.769041955310240E+002	9.5176274E-001	9.5154697E-001	1.743466031661636E-003	2.000000000000000E+000	-6.3986164E-003	-6.3822168E-001	1.6589898E-006	1.5897686E+000
2	0	0	0	1	1.769241955305188E+002	9.5076251E-001	9.5062017E-001	1.730222947015944E-003	2.000000000000000E+000	-6.3985819E-003	-6.3817340E-001	1.6447849E-006	1.5887935E+000
2	0	0	0	1	1.769441955300135E+002	9.4976223E-001	9.4960767E-001	1.716281355887386E-003	2.000000000000000E+000	-6.3985479E-003	-6.3820601E-001	1.6297940E-006	1.5878136E+000
2	0	0	0	1	1.769641955295083E+002	9.4876200E-001	9.4859290E-001	1.694760950461692E-003	2.000000000000000E+000	-6.3985139E-003	-6.3823360E-001	1.6076382E-006	1.5868266E+000
2	0	0	0	1	1.769841955290030E+002	9.4776177E-001	9.4755274E-001	1.692732586586020E-003	2.000000000000000E+000	-6.3984799E-003	-6.3813847E-001	1.6039534E-006	1.5856912E+000
2	0	0	0	1	1.770041955284978E+002	9.4676155E-001	9.4653904E-001	1.686433374541396E-003	2.000000000000000E+000	-6.3984464E-003	-6.3785434E-001	1.5962750E-006	1.5843934E+000
2	0	0	0	1	1.770241955279926E+002	9.4576126E-001	9.4561547E-001	1.680466563104553E-003	2.000000000000000E+000	-6.3984129E-003	-6.3742441E-001	1.5890752E-006	1.5830399E+000
2	0	0	0	1	1.770441955274873E+002	9.4476104E-001	9.4456267E-001	1.687606632306903E-003	2.000000000000000E+000	-6.3983798E-003	-6.3730121E-001	1.5940503E-006	1.5818639E+000
2	0	0	0	1	1.770641955269821E+002	9.4376081E-001	9.4358706E-001	1.659315809370638E-003	2.000000000000000E+000	-6.3983463E-003	-6.3725799E-001	1.5657089E-006	1.5808451E+000
2	0	0	0	1	1.770841955264768E+002	9.4276059E-001	9.4257981E-001	1.637523180862551E-003	2.000000000000000E+000	-6.3983137E-003	-6.3722217E-001	1.5434963E-006	1.5798020E+000
2	0	0	0	1	1.771041955259716E+002	9.4176030E-001	9.4154280E-001	1.633147101731285E-003	2.000000000000000E+000	-6.3982811E-003	-6.3719201E-001	1.5376779E-006	1.5787349E+000
2	0	0	0	1	1.771241955254663E+002	9.4076008E-001	9.4056845E-001	1.630209699315953E-003	2.000000000000000E+000	-6.3982490E-003	-6.3713020E-001	1.5333238E-006	1.5776987E+000
2	0	0	0	1	1.771441955249611E+002	9.3975985E-001	9.3959397E-001	1.610553362297653E-003	2.000000000000000E+000	-6.3982168E-003	-6.3715911E-001	1.5132662E-006	1.5767531E+000
2	0	0	0	1	1.771641955244559E+002	9.3875962E-001	9.3851662E-001	1.595609832091013E-003	2.000000000000000E+000	-6.3981847E-003	-6.3734198E-001	1.4975063E-006	1.5758586E+000
2	0	0	0	1	1.771841955239506E+002	9.3775934E-001	9.3756449E-001	1.582155455859427E-003	2.000000000000000E+000	-6.3981530E-003	-6.3738948E-001	1.4833728E-006	1.5749540E+000
2	0	0	0	1	1.772041955234454E+002	9.3675911E-001	9.3655723E-001	1.557786102340392E-003	2.000000000000000E+000	-6.3981218E-003	-6.3723600E-001	1.4589559E-006	1.5737932E+000
2	0	0	0	1	1.772241955229401E+002	9.3575901E-001	9.3555945E-001	1.547330970020593E-003	2.000000000000000E+000	-6.3980911E-003	-6.3711381E-001	1.4476201E-006	1.5726733E+000
2	0	0	0	1	1.772441955224349E+002	9.3475866E-001	9.3457550E-001	1.549048154326257E-003	2.000000000000000E+000	-6.3980604E-003	-6.3654608E-001	1.4477024E-006	1.5711216E+000
2	0	0	0	1	1.772641955219297E+002	9.3375838E-001	9.3352050E-001	1.555418142339077E-003	2.000000000000000E+000	-6.3980296E-003	-6.3619465E-001	1.4520147E-006	1.5697151E+000
2	0	0	0	1	1.772841955214244E+002	9.3275827E-001	9.3251210E-001	1.528647257752406E-003	2.000000000000000E+000	-6.3979989E-003	-6.3618666E-001	1.4254821E-006	1.5686988E+000
2	0	0	0	1	1.773041955209192E+002	9.3175805E-001	9.3155986E-001	1.515218541195892E-003	2.000000000000000E+000	-6.3979691E-003	-6.3619304E-001	1.4115168E-006	1.5677528E+000
2	0	0	0	1	1.773241955204139E+002	9.3075776E-001	9.3053031E-001	1.494163288043641E-003	2.000000000000000E+000	-6.3979388E-003	-6.3616627E-001	1.3903642E-006	1.5666966E+000
2	0	0	0	1	1.773441955199087E+002	9.2975754E-001	9.2957604E-001	1.487069045955042E-003	2.000000000000000E+000	-6.3979095E-003	-6.3623232E-001	1.3823437E-006	1.5658083E+000
2	0	0	0	1	1.773641955194034E+002	9.2875731E-001	9.2856556E-001	1.484762980706162E-003	2.000000000000000E+000	-6.3978797E-003	-6.3638014E-001	1.3786998E-006	1.5649457E+000
2	0	0	0	1	1.773841955188982E+002	9.2775708E-001	9.2749155E-001	1.470390840545914E-003	2.000000000000000E+000	-6.3978508E-003	-6.3649207E-001	1.3637750E-006	1.5639837E+000
2	0	0	0	1	1.774041955183930E+002	9.2675680E-001	9.2660719E-001	1.461285911924889E-003	2.000000000000000E+000	-6.3978215E-003	-6.3647187E-001	1.3540380E-006	1.5630791E+000
2	0	0	0	1	1.774241955178877E+002	9.2575657E-001	9.2555428E-001	1.441454440585712E-003	2.000000000000000E+000	-6.3977926E-003	-6.3633305E-001	1.3341443E-006	1.5618873E+000
2	0	0	0	1	1.774441955173825E+002	9.2475635E-001	9.2456502E-001	1.419318676198603E-003	2.000000000000000E+000	-6.3977642E-003	-6.3590413E-001	1.3122525E-006	1.5604692E+000
2	0	0	0	1	1.774641955168772E+002	9.2375612E-001	9.2359692E-001	1.442901869975480E-003	2.000000000000000E+000	-6.3977358E-003	-6.3542652E-001	1.3326597E-006	1.5590234E+000
2	0	0	0	1	1.774841955163720E+002	9.2275596E-001	9.2255676E-001	1.423022725349367E-003	2.000000000000000E+000	-6.3977074E-003	-6.3544935E-001	1.3128192E-006	1.5580060E+000
2	0	0	0	1	1.775041955158667E+002	9.2175561E-001	9.2156851E-001	1.399305029129515E-003	2.000000000000000E+000	-6.3976794E-003	-6.3539791E-001	1.2895555E-006	1.5569664E+000
2	0	0	0	1	1.775241955153615E+002	9.2075539E-001	9.2054749E-001	1.389060372174657E-003	2.000000000000000E+000	-6.3976520E-003	-6.3534307E-001	1.2786960E-006	1.5558906E+000
2	0	0	0	1	1.775441955148563E+002	9.1975516E-001	9.1955602E-001	1.370829367968125E-003	2.000000000000000E+000	-6.3976245E-003	-6.3533229E-001	1.2605544E-006	1.5548882E+000
2	0	0	0	1	1.775641955143510E+002	9.1875499E-001	9.1858798E-001	1.341280203127505E-003	2.000000000000000E+000	-6.3975975E-003	-6.3535869E-001	1.2320838E-006	1.5539467E+000
2	0	0	0	1	1.775841955138458E+002	9.1775477E-001	9.1758704E-001	1.334145432034952E-003	2.000000000000000E+000	-6.3975709E-003	-6.3548332E-001	1.2241945E-006	1.5530703E+000
2	0	0	0	1	1.776041955133405E+002	9.1675454E-001	9.1653305E-001	1.330656317299551E-003	2.000000000000000E+000	-6.3975449E-003	-6.3555115E-001	1.2195906E-006	1.5520842E+000
2	0	0	0	1	1.776241955128353E+002	9.1575420E-001	9.1554493E-001	1.313550912022447E-003	2.000000000000000E+000	-6.3975183E-003	-6.3535470E-001	1.2026148E-006	1.5508996E+000
2	0	0	0	1	1.776441955123300E+002	9.1475403E-001	9.1456312E-001	1.300446678113890E-003	2.000000000000000E+000	-6.3974927E-003	-6.3506216E-001	1.1893405E-006	1.5496253E+000
2	0	0	0	1	1.776641955118248E+002	9.1375381E-001	9.1353452E-001	1.308831695698454E-003	2.000000000000000E+000	-6.3974666E-003	-6.3451618E-001	1.1956630E-006	1.5480506E+000
2	0	0	0	1	1.776842955113170E+002	9.1274911E-001	9.1254139E-001	1.293279505114122E-003	2.000000000000000E+000	-6.3974406E-003	-6.3445002E-001	1.1801710E-006	1.5469913E+000
2	0	0	1	1	1.777043955108093E+002	9.1175330E-001	9.1155910E-001	1.288333530283126E-003	2.000000000000000E+000	-6.3974150E-003	-6.3443559E-001	1.1743922E-006	1.5459948E+000
2	0	0	1	1	1.777243955103040E+002	9.1075307E-001	9.1060269E-001	1.285776354254468E-003	2.000000000000000E+000	-6.3973893E-003	-6.3441598E-001	1.1708314E-006	1.5450187E+000
2	0	0	1	1	1.777443955097988E+002	9.0975285E-001	9.0960175E-001	1.262959759616128E-003	2.000000000000000E+000	-6.3973642E-003	-6.3435292E-001	1.1487905E-006	1.5439546E+000
2	0	0	1	1	1.777643955092935E+002	9.0875262E-001	9.0853405E-001	1.255735590954533E-003	2.000000000000000E+000	-6.3973395E-003	-6.3433462E-001	1.1408786E-006	1.5428686E+000
2	0	0	1	1	1.777843955087883E+002	9.0775234E-001	9.0760523E-001	1.240274879920538E-003	2.000000000000000E+000	-6.3973148E-003	-6.3441253E-001	1.1256800E-006	1.5420177E+000
2	0	0	1	1	1.778043955082831E+002	9.0675211E-001	9.0654069E-001	1.228725078463975E-003	2.000000000000000E+000	-6.3972902E-003	-6.3457578E-001	1.1138893E-006	1.5411165E+000
2	0	0	1	1	1.778243955077778E+002	9.0575188E-001	9.0550685E-001	1.232159438788796E-003	2.000000000000000E+000	-6.3972655E-003	-6.3455957E-001	1.1157288E-006	1.5400665E+000
2	0	0	1	1	1.778443955072726E+002	9.0475166E-001	9.0454620E-001	1.234713096487722E-003	2.000000000000000E+000	-6.3972413E-003	-6.3441968E-001	1.1168551E-006	1.5389659E+000
2	0	0	1	1	1.778643955067673E+002	9.0375149E-001	9.0354425E-001	1.216860476738981E-003	2.000000000000000E+000	-6.3972170E-003	-6.3403988E-001	1.0994873E-006	1.5375841E+000
2	0	0	1	1	1.778843955062621E+002	9.0275115E-001	9.0255702E-001	1.231957031147139E-003	2.000000000000000E+000	-6.3971928E-003	-6.3374752E-001	1.1119114E-006	1.5363045E+000
2	0	0	1	1	1.779043955057568E+002	9.0175092E-001	9.0161330E-001	1.201707485557160E-003	2.000000000000000E+000	-6.3971686E-003	-6.3371676E-001	1.0834755E-006	1.5353301E+000
2	0	0	1	1	1.779243955052516E+002	9.0075070E-001	9.0056473E-001	1.176480445792553E-003	2.000000000000000E+000	-6.3971449E-003	-6.3365102E-001	1.0594968E-006	1.5342157E+000
2	0	0	1	1	1.779443955047464E+002	8.9975053E-001	8.9956903E-001	1.170585372064025E-003	2.000000000000000E+000	-6.3971216E-003	-6.3360447E-001	1.0530224E-006	1.5331736E+000
2	0	0	1	1	1.779643955042411E+002	8.9875031E-001	8.9859682E-001	1.165881296704660E-003	2.000000000000000E+000	-6.3970988E-003	-6.3351798E-001	1.0476572E-006	1.5321147E+000
2	0	0	1	1	1.779843955037359E+002	8.9775002E-001	8.9754713E-001	1.148064955486917E-003	2.000000000000000E+000	-6.3970760E-003	-6.3351029E-001	1.0304424E-006	1.5310574E+000
2	0	0	1	1	1.780043955032306E+002	8.9674973E-001	8.9650899E-001	1.140868188789074E-003	2.000000000000000E+000	-6.3970531E-003	-6.3358003E-001	1.0227985E-006	1.5300890E+000
2	0	0	1	1	1.780243955027254E+002	8.9574957E-001	8.9552820E-001	1.136289626123874E-003	2.000000000000000E+000	-6.3970308E-003	-6.3373220E-001	1.0175794E-006	1.5292604E+000
2	0	0	1	1	1.780443955022201E+002	8.9474934E-001	8.9452726E-001	1.122600883415245E-003	2.000000000000000E+000	-6.3970084E-003	-6.3370615E-001	1.0041971E-006	1.5282334E+000
2	0	0	1	1	1.780643955017149E+002	8.9374906E-001	8.9355701E-001	1.118673228625590E-003	2.000000000000000E+000	-6.3969861E-003	-6.3356018E-001	9.9959834E-007	1.5271173E+000
2	0	0	1	1	1.780843955012097E+002	8.9274883E-001	8.9255607E-001	1.127802807382582E-003	2.000000000000000E+000	-6.3969637E-003	-6.3315141E-001	1.0066273E-006	1.5257075E+000
2	0	0	1	1	1.781043955007044E+002	8.9174861E-001	8.9157319E-001	1.131276943851845E-003	2.000000000000000E+000	-6.3969414E-003	-6.3290417E-001	1.0086162E-006	1.5244774E+000
2	0	0	1	1	1.781243955001992E+002	8.9074838E-001	8.9057547E-001	1.098991173219276E-003	2.000000000000000E+000	-6.3969195E-003	-6.3291055E-001	9.7873453E-007	1.5234860E+000
2	0	0	1	1	1.781443954996939E+002	8.8974810E-001	8.8953745E-001	1.085397887941835E-003	2.000000000000000E+000	-6.3968976E-003	-6.3288271E-001	9.6550207E-007	1.5224202E+000
2	0	0	1	1	1.781643954991887E+002	8.8874787E-001	8.8853955E-001	1.049750251998680E-003	2.000000000000000E+000	-6.3968766E-003	-6.3283390E-001	9.3274463E-007	1.5213735E+000
2	0	0	1	1	1.781843954986834E+002	8.8774765E-001	8.8756520E-001	1.033545927687860E-003	2.000000000000000E+000	-6.3968562E-003	-6.3286519E-001	9.1733938E-007	1.5204303E+000
2	0	0	1	1	1.782043954981782E+002	8.8674742E-001	8.8651758E-001	1.043570388699462E-003	2.000000000000000E+000	-6.3968357E-003	-6.3310456E-001	9.2514347E-007	1.5196221E+000
2	0	0	1	1	1.782243954976730E+002	8.8574713E-001	8.8555378E-001	1.048359359325943E-003	2.000000000000000E+000	-6.3968147E-003	-6.3297760E-001	9.2837854E-007	1.5185313E+000
2	0	0	1	1	1.782443954971677E+002	8.8474691E-001	8.8455820E-001	1.031492679228703E-003	2.000000000000000E+000	-6.3967942E-003	-6.3315362E-001	9.1241532E-007	1.5177119E+000
2	0	0	1	1	1.782643954966625E+002	8.8374668E-001	8.8352650E-001	1.035722818616913E-003	2.000000000000000E+000	-6.3967737E-003	-6.3311672E-001	9.1508855E-007	1.5166433E+000
2	0	0	1	1	1.782843954961572E+002	8.8274646E-001	8.8253719E-001	1.019782024539185E-003	2.000000000000000E+000	-6.3967537E-003	-6.3293761E-001	8.9999560E-007	1.5154748E+000
2	0	0	1	1	1.783043954956520E+002	8.8174617E-001	8.8154358E-001	1.038293317934504E-003	2.000000000000000E+000	-6.3967332E-003	-6.3269407E-001	9.1530086E-007	1.5142376E+000
2	0	0	1	1	1.783243954951467E+002	8.8074595E-001	8.8057446E-001	1.035570788291001E-003	2.000000000000000E+000	-6.3967127E-003	-6.3265795E-001	9.1189713E-007	1.5132325E+000
2	0	0	1	1	1.783443954946415E+002	8.7974572E-001	8.7955552E-001	1.002283160839100E-003	2.000000000000000E+000	-6.3966922E-003	-6.3261980E-001	8.8156372E-007	1.5121753E+000
2	0	0	1	1	1.783643954941363E+002	8.7874550E-001	8.7853551E-001	9.781543644243771E-004	2.000000000000000E+000	-6.3966727E-003	-6.3263202E-001	8.5934334E-007	1.5111675E+000
2	0	0	1	1	1.783843954936310E+002	8.7774521E-001	8.7753779E-001	9.629801543269440E-004	2.000000000000000E+000	-6.3966536E-003	-6.3264924E-001	8.4505149E-007	1.5101870E+000
2	0	0	1	1	1.784043954931258E+002	8.7674499E-001	8.7657708E-001	9.467510783704516E-004	2.000000000000000E+000	-6.3966350E-003	-6.3282019E-001	8.2990033E-007	1.5093973E+000
2	0	0	1	1	1.784243954926205E+002	8.7574476E-001	8.7561864E-001	9.563838560906271E-004	2.000000000000000E+000	-6.3966159E-003	-6.3316846E-001	8.3742754E-007	1.5087872E+000
2	0	0	1	1	1.784443954921153E+002	8.7474453E-001	8.7461132E-001	9.575182828282652E-004	2.000000000000000E+000	-6.3965973E-003	-6.3353050E-001	8.3745635E-007	1.5081418E+000
2	0	0	1	1	1.784643954916100E+002	8.7374425E-001	8.7352657E-001	9.522058740003524E-004	2.000000000000000E+000	-6.3965782E-003	-6.3364077E-001	8.3177713E-007	1.5071673E+000
2	0	0	1	1	1.784843954911048E+002	8.7274402E-001	8.7258083E-001	9.398532382773640E-004	2.000000000000000E+000	-6.3965595E-003	-6.3339400E-001	8.2009791E-007	1.5059748E+000
2	0	0	1	1	1.785043954905996E+002	8.7174392E-001	8.7156087E-001	9.288507950360441E-004	2.000000000000000E+000	-6.3965414E-003	-6.3292807E-001	8.0954999E-007	1.5044889E+000
2	0	0	1	1	1.785243954900943E+002	8.7074357E-001	8.7053752E-001	9.202418968925537E-004	2.000000000000000E+000	-6.3965227E-003	-6.3269454E-001	8.0110510E-007	1.5032320E+000
2	0	0	1	1	1.785444954895866E+002	8.6974555E-001	8.6955887E-001	8.902829890448053E-004	2.000000000000000E+000	-6.3965051E-003	-6.3263232E-001	7.7415348E-007	1.5021912E+000
2	0	0	0	1	1.785645954890788E+002	8.6874306E-001	8.6851239E-001	8.904761586260705E-004	2.000000000000000E+000	-6.3964874E-003	-6.3262796E-001	7.7338956E-007	1.5011404E+000
2	0	0	0	1	1.785845954885735E+002	8.6774296E-001	8.6751461E-001	8.919165331664966E-004	2.000000000000000E+000	-6.3964697E-003	-6.3271624E-001	7.7375063E-007	1.5002308E+000
2	0	0	0	1	1.786045954880683E+002	8.6674267E-001	8.6655933E-001	8.815410270067835E-004	2.000000000000000E+000	-6.3964524E-003	-6.3284141E-001	7.6390762E-007	1.4994007E+000
2	0	0	0	1	1.786245954875631E+002	8.6574244E-001	8.6552441E-001	8.817859518078178E-004	2.000000000000000E+000	-6.3964347E-003	-6.3285702E-001	7.6320725E-007	1.4983814E+000
2	0	0	0	1	1.786445954870578E+002	8.6474228E-001	8.6446720E-001	8.665542557335197E-004	2.000000000000000E+000	-6.3964175E-003	-6.3293761E-001	7.4910776E-007	1.4974048E+000
2	0	0	0	1	1.786645954865526E+002	8.6374205E-001	8.6353958E-001	8.651058831472100E-004	2.000000000000000E+000	-6.3964003E-003	-6.3295293E-001	7.4705315E-007	1.4964925E+000
2	0	0	0	1	1.786845954860473E+002	8.6274171E-001	8.6250144E-001	8.574369530833827E-004	2.000000000000000E+000	-6.3963835E-003	-6.3278681E-001	7.3954061E-007	1.4952883E+000
2	0	0	0	1	1.787045954855421E+002	8.6174148E-001	8.6156094E-001	8.311232165599206E-004	2.000000000000000E+000	-6.3963667E-003	-6.3228714E-001	7.1606331E-007	1.4938481E+000
2	0	0	0	1	1.787245954850368E+002	8.6074132E-001	8.6053348E-001	8.252617056112091E-004	2.000000000000000E+000	-6.3963505E-003	-6.3188064E-001	7.1016530E-007	1.4924141E+000
2	0	0	0	1	1.787445954845316E+002	8.5974109E-001	8.5954309E-001	8.136332190689360E-004	2.000000000000000E+000	-6.3963342E-003	-6.3182366E-001	6.9935277E-007	1.4913667E+000
2	0	0	0	1	1.787645954840264E+002	8.5874081E-001	8.5855496E-001	8.146757111515204E-004	2.000000000000000E+000	-6.3963183E-003	-6.3202322E-001	6.9944389E-007	1.4905782E+000
2	0	0	0	1	1.787845954835211E+002	8.5774058E-001	8.5757309E-001	8.191154424316196E-004	2.000000000000000E+000	-6.3963020E-003	-6.3215524E-001	7.0245136E-007	1.4897283E+000
2	0	0	0	1	1.788045954830159E+002	8.5674036E-001	8.5656148E-001	8.301019519826205E-004	2.000000000000000E+000	-6.3962857E-003	-6.3222438E-001	7.1103335E-007	1.4887859E+000
2	0	0	0	1	1.788245954825106E+002	8.5574013E-001	8.5559350E-001	8.166227888876994E-004	2.000000000000000E+000	-6.3962694E-003	-6.3221961E-001	6.9869719E-007	1.4878131E+000
2	0	0	0	1	1.788445954820054E+002	8.5473984E-001	8.5447061E-001	8.026573205420894E-004	2.000000000000000E+000	-6.3962536E-003	-6.3227415E-001	6.8584711E-007	1.4867448E+000
2	0	0	0	1	1.788645954815001E+002	8.5373962E-001	8.5351849E-001	7.890393157544626E-004	2.000000000000000E+000	-6.3962382E-003	-6.3239056E-001	6.7345962E-007	1.4859090E+000
2	0	0	0	1	1.788845954809949E+002	8.5273945E-001	8.5253018E-001	7.690283149612625E-004	2.000000000000000E+000	-6.3962224E-003	-6.3234156E-001	6.5561983E-007	1.4848717E+000
2	0	0	0	1	1.789045954804897E+002	8.5173917E-001	8.5150599E-001	7.728924164338343E-004	2.000000000000000E+000	-6.3962075E-003	-6.3227969E-001	6.5812253E-007	1.4837856E+000
2	0	0	0	1	1.789245954799844E+002	8.5073894E-001	8.5054207E-001	7.639599530698943E-004	2.000000000000000E+000	-6.3961921E-003	-6.3208205E-001	6.4978008E-007	1.4826241E+000
2	0	0	0	1	1.789445954794792E+002	8.4973866E-001	8.4951252E-001	7.622914123304424E-004	2.000000000000000E+000	-6.3961772E-003	-6.3150871E-001	6.4757609E-007	1.4810212E+000
2	0	0	0	1	1.789645954789739E+002	8.4873849E-001	8.4850407E-001	7.575979152534321E-004	2.000000000000000E+000	-6.3961623E-003	-6.3145024E-001	6.4282489E-007	1.4799542E+000
2	0	0	0	1	1.789845954784687E+002	8.4773821E-001	8.4754032E-001	7.290638685743859E-004	2.000000000000000E+000	-6.3961479E-003	-6.3141173E-001	6.1791104E-007	1.4789521E+000
2	0	0	0	1	1.790045954779634E+002	8.4673804E-001	8.4649497E-001	6.957170033072362E-004	2.000000000000000E+000	-6.3961335E-003	-6.3138711E-001	5.8892095E-007	1.4778821E+000
